,precision,recall,f1-score,support,pipeline,classifier,vectorizer,ngram_lower_bound,ngram_upper_bound,preprocess_function
macro avg,0.8660670077570556,0.8220627281778958,0.8376525435348965,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_basic
weighted avg,0.8627669582439347,0.86125,0.8568399835458659,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_basic
CONSPIRACY,0.8441558441558441,0.7065217391304348,0.7692307692307693,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_basic
CRITICAL,0.8576449912126538,0.9312977099236641,0.8929551692589204,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_basic
accuracy,0.85375,0.85375,0.85375,0.85375,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_basic
macro avg,0.850900417684249,0.8189097245270495,0.8310929692448448,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_basic
weighted avg,0.8529912354780543,0.85375,0.8502702512492083,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_basic
CONSPIRACY,0.8994413407821229,0.5833333333333334,0.7076923076923077,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_basic
CRITICAL,0.8148148148148148,0.9656488549618321,0.8838427947598253,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_basic
accuracy,0.83375,0.83375,0.83375,0.83375,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_basic
macro avg,0.8571280777984689,0.7744910941475827,0.7957675512260665,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_basic
weighted avg,0.8440109662735361,0.83375,0.8230708767215318,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_basic
CONSPIRACY,0.8632075471698113,0.6630434782608695,0.75,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
CRITICAL,0.8418367346938775,0.9446564885496184,0.8902877697841727,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
